,game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,summary,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,season,h2h_open_price_home,h2h_open_datetime_home,h2h_open_implied_probability_home,h2h_close_price_home,h2h_close_datetime_home,h2h_close_implied_probability_home,h2h_open_price_away,h2h_open_datetime_away,h2h_open_implied_probability_away,h2h_close_price_away,h2h_close_datetime_away,h2h_close_implied_probability_away,totals_open_point,totals_open_price_over,totals_open_datetime_over,totals_open_implied_probability_over,totals_close_point,totals_close_price_over,totals_close_datetime_over,totals_close_implied_probability_over,totals_open_price_under,totals_open_datetime_under,totals_open_implied_probability_under,totals_close_price_under,totals_close_datetime_under,totals_close_implied_probability_under
0,663178,2022-04-07 18:20:00+00:00,4/7/22,R,Final,Milwaukee Brewers,Chicago Cubs,158,112,N,1,Kyle Hendricks,Corbin Burnes,,,4,5,9,Top,17,Wrigley Field,['MLBN'],CHC leads 1-0,2022-04-07 - Milwaukee Brewers (4) @ Chicago Cubs (5) (Final),Chicago Cubs,Milwaukee Brewers,Mychal Givens,Aaron Ashby,David Robertson,2022,160,2022-04-07 08:18:22.105263360+00:00,0.3846,160,2022-04-07 17:50:05.315789568+00:00,0.3846,-185,2022-04-07 08:18:22.105263360+00:00,0.6491,-185,2022-04-07 17:50:05.315789568+00:00,0.6491,10,-105,2022-04-07 11:19:34.647058944+00:00,0.5122,9,-108,2022-04-07 17:50:04.352941056+00:00,0.5192,-112,2022-04-07 11:19:34.647058944+00:00,0.5283,-112,2022-04-07 17:50:04.352941056+00:00,0.5283
1,662766,2022-04-07 20:10:00+00:00,4/7/22,R,Final,Cleveland Guardians,Kansas City Royals,114,118,N,1,Zack Greinke,Shane Bieber,,,1,3,9,Top,7,Kauffman Stadium,['MLB.tv Free Game'],KC leads 1-0,2022-04-07 - Cleveland Guardians (1) @ Kansas City Royals (3) (Final),Kansas City Royals,Cleveland Guardians,Scott Barlow,Triston McKenzie,,2022,110,2022-04-07 08:20:01.277777664+00:00,0.4762,106,2022-04-07 19:50:26.833333248+00:00,0.4854,-127,2022-04-07 08:20:01.277777664+00:00,0.5595,-123,2022-04-07 19:50:26.833333248+00:00,0.5516,8,-105,2022-04-07 08:24:19.624999936+00:00,0.5122,7.5,100,2022-04-07 19:50:27+00:00,0.5,-115,2022-04-07 08:24:19.624999936+00:00,0.5349,-117,2022-04-07 19:50:27+00:00,0.5392
2,662021,2022-04-07 20:15:00+00:00,4/7/22,R,Final,Pittsburgh Pirates,St. Louis Cardinals,134,138,N,1,Adam Wainwright,JT Brubaker,,,0,9,9,Top,2889,Busch Stadium,[],STL leads 1-0,2022-04-07 - Pittsburgh Pirates (0) @ St. Louis Cardinals (9) (Final),St. Louis Cardinals,Pittsburgh Pirates,Adam Wainwright,JT Brubaker,,2022,-198,2022-04-07 08:20:01.277777664+00:00,0.6644,-161,2022-04-07 19:50:26.833333248+00:00,0.6169,165,2022-04-07 08:20:01.277777664+00:00,0.3774,137,2022-04-07 19:50:26.833333248+00:00,0.4219,8,-106,2022-04-07 08:24:19.624999936+00:00,0.5146,8,-105,2022-04-07 19:05:09.062500096+00:00,0.5122,-112,2022-04-07 08:24:19.624999936+00:00,0.5283,-115,2022-04-07 19:05:09.062500096+00:00,0.5349
3,662571,2022-04-07 23:05:00+00:00,4/7/22,R,Final,New York Mets,Washington Nationals,121,120,N,1,Patrick Corbin,Tylor Megill,,,5,1,9,Bottom,3309,Nationals Park,[],NYM leads 1-0,2022-04-07 - New York Mets (5) @ Washington Nationals (1) (Final),New York Mets,Washington Nationals,Tylor Megill,Patrick Corbin,,2022,115,2022-04-07 08:18:22.105263360+00:00,0.4651,105,2022-04-07 23:50:21.526315776+00:00,0.4878,-133,2022-04-07 08:18:22.105263360+00:00,0.5708,-120,2022-04-07 23:50:21.526315776+00:00,0.5455,9,-115,2022-04-07 08:57:35.588235264+00:00,0.5349,9,-120,2022-04-07 23:50:20.529411840+00:00,0.5455,100,2022-04-07 08:57:35.588235264+00:00,0.5,100,2022-04-07 23:50:20.529411840+00:00,0.5
4,661577,2022-04-08 00:08:00+00:00,4/7/22,R,Final,Cincinnati Reds,Atlanta Braves,113,144,N,1,Max Fried,Tyler Mahle,,,6,3,9,Bottom,4705,Truist Park,['ESPN2'],CIN leads 1-0,2022-04-07 - Cincinnati Reds (6) @ Atlanta Braves (3) (Final),Cincinnati Reds,Atlanta Braves,Tyler Mahle,Max Fried,Tony Santillan,2022,-200,2022-04-07 08:18:22.105263360+00:00,0.6667,-179,2022-04-07 23:50:21.526315776+00:00,0.6416,175,2022-04-07 08:18:22.105263360+00:00,0.3636,155,2022-04-07 23:50:21.526315776+00:00,0.3922,8.5,-108,2022-04-07 08:57:35.588235264+00:00,0.5192,8.5,-105,2022-04-07 23:50:20.529411840+00:00,0.5122,-112,2022-04-07 08:57:35.588235264+00:00,0.5283,-115,2022-04-07 23:50:20.529411840+00:00,0.5349
5,661042,2022-04-08 01:38:00+00:00,4/7/22,R,Final,Houston Astros,Los Angeles Angels,117,108,N,1,Shohei Ohtani,Framber Valdez,,,3,1,9,Bottom,1,Angel Stadium,[],HOU leads 1-0,2022-04-07 - Houston Astros (3) @ Los Angeles Angels (1) (Final),Houston Astros,Los Angeles Angels,Framber Valdez,Shohei Ohtani,Ryan Pressly,2022,-125,2022-04-07 08:18:22.105263360+00:00,0.5556,-120,2022-04-08 00:50:18.578947328+00:00,0.5455,110,2022-04-07 08:18:22.105263360+00:00,0.4762,106,2022-04-08 00:50:18.578947328+00:00,0.4854,8.5,-118,2022-04-07 08:57:35.588235264+00:00,0.5413,9,100,2022-04-08 00:50:19.352941312+00:00,0.5,-103,2022-04-07 08:57:35.588235264+00:00,0.5074,-119,2022-04-08 00:50:19.352941312+00:00,0.5434
6,663418,2022-04-08 01:40:00+00:00,4/7/22,R,Final,San Diego Padres,Arizona Diamondbacks,135,109,N,1,Madison Bumgarner,Yu Darvish,,,2,4,9,Bottom,15,Chase Field,[],AZ leads 1-0,2022-04-07 - San Diego Padres (2) @ Arizona Diamondbacks (4) (Final),Arizona Diamondbacks,San Diego Padres,Joe Mantiply,Robert Suarez,,2022,137,2022-04-07 08:53:37.444444416+00:00,0.4219,116,2022-04-08 00:49:34.166666496+00:00,0.463,-161,2022-04-07 08:53:37.444444416+00:00,0.6169,-133,2022-04-08 00:49:34.166666496+00:00,0.5708,9,-110,2022-04-07 08:24:19.624999936+00:00,0.5238,9,-113,2022-04-08 00:49:29.437499904+00:00,0.5305,-110,2022-04-07 08:24:19.624999936+00:00,0.5238,-106,2022-04-08 00:49:29.437499904+00:00,0.5146
7,662888,2022-04-08 17:10:00+00:00,4/8/22,R,Final,Chicago White Sox,Detroit Tigers,145,116,N,1,Eduardo Rodriguez,Lucas Giolito,,,4,5,9,Bottom,2394,Comerica Park,[],DET leads 1-0,2022-04-08 - Chicago White Sox (4) @ Detroit Tigers (5) (Final),Detroit Tigers,Chicago White Sox,Gregory Soto,Liam Hendriks,,2022,112,2022-04-08 00:34:10.450000128+00:00,0.4717,118,2022-04-08 16:49:49.100000+00:00,0.4587,-130,2022-04-08 00:34:10.450000128+00:00,0.5652,-135,2022-04-08 16:49:49.100000+00:00,0.5745,8,-108,2022-04-08 02:53:04+00:00,0.5192,7.5,-115,2022-04-08 16:49:49.333333248+00:00,0.5349,-109,2022-04-08 02:53:04+00:00,0.5215,-105,2022-04-08 16:49:49.333333248+00:00,0.5122
8,661131,2022-04-08 19:05:00+00:00,4/8/22,R,Final,Oakland Athletics,Philadelphia Phillies,133,143,N,1,Aaron Nola,Frankie Montas,,,5,9,9,Top,2681,Citizens Bank Park,['MLBN'],PHI leads 1-0,2022-04-08 - Oakland Athletics (5) @ Philadelphia Phillies (9) (Final),Philadelphia Phillies,Oakland Athletics,Aaron Nola,Frankie Montas,,2022,-179,2022-04-08 00:34:10.450000128+00:00,0.6416,-204,2022-04-08 18:50:23.800000+00:00,0.6711,160,2022-04-08 00:34:10.450000128+00:00,0.3846,175,2022-04-08 18:50:23.800000+00:00,0.3636,8,-116,2022-04-08 02:53:04+00:00,0.537,8,-108,2022-04-08 18:50:24.055555584+00:00,0.5192,-105,2022-04-08 02:53:04+00:00,0.5122,-113,2022-04-08 18:50:24.055555584+00:00,0.5305
9,661918,2022-04-08 19:10:00+00:00,4/8/22,R,Final,Baltimore Orioles,Tampa Bay Rays,110,139,N,1,Shane McClanahan,John Means,,,1,2,9,Top,12,Tropicana Field,[],TB leads 1-0,2022-04-08 - Baltimore Orioles (1) @ Tampa Bay Rays (2) (Final),Tampa Bay Rays,Baltimore Orioles,Andrew Kittredge,Dillon Tate,Brooks Raley,2022,-185,2022-04-08 00:34:10.450000128+00:00,0.6491,-189,2022-04-08 18:50:23.800000+00:00,0.654,160,2022-04-08 00:34:10.450000128+00:00,0.3846,165,2022-04-08 18:50:23.800000+00:00,0.3774,7.5,-115,2022-04-08 03:33:01.333333248+00:00,0.5349,7.5,-110,2022-04-08 18:50:24.055555584+00:00,0.5238,-105,2022-04-08 03:33:01.333333248+00:00,0.5122,-110,2022-04-08 18:50:24.055555584+00:00,0.5238
10,662933,2022-04-08 20:10:00+00:00,4/8/22,R,Final,Los Angeles Dodgers,Colorado Rockies,119,115,N,1,Kyle Freeland,Walker Buehler,,,5,3,9,Bottom,19,Coors Field,['MLB.tv Free Game'],LAD leads 1-0,2022-04-08 - Los Angeles Dodgers (5) @ Colorado Rockies (3) (Final),Los Angeles Dodgers,Colorado Rockies,Walker Buehler,Kyle Freeland,Craig Kimbrel,2022,175,2022-04-08 00:11:25.263158016+00:00,0.3636,180,2022-04-08 19:48:51.263158016+00:00,0.3571,-208,2022-04-08 00:11:25.263158016+00:00,0.6753,-208,2022-04-08 19:48:51.263158016+00:00,0.6753,11.5,-103,2022-04-08 02:14:22.588235264+00:00,0.5074,11.5,100,2022-04-08 19:48:51.470588160+00:00,0.5,-116,2022-04-08 02:14:22.588235264+00:00,0.537,-118,2022-04-08 19:48:51.470588160+00:00,0.5413
11,662124,2022-04-08 20:35:00+00:00,4/8/22,R,Final,Miami Marlins,San Francisco Giants,146,137,N,1,Logan Webb,Sandy Alcantara,,,5,6,10,Bottom,2395,Oracle Park,[],SF leads 1-0,2022-04-08 - Miami Marlins (5) @ San Francisco Giants (6) (Final),San Francisco Giants,Miami Marlins,Jose Alvarez,Anthony Bass,,2022,-143,2022-04-08 00:34:10.450000128+00:00,0.5885,-145,2022-04-08 19:48:51.200000+00:00,0.5918,123,2022-04-08 00:34:10.450000128+00:00,0.4484,130,2022-04-08 19:48:51.200000+00:00,0.4348,7.5,100,2022-04-08 02:53:04+00:00,0.5,7.5,-105,2022-04-08 19:48:51.388888832+00:00,0.5122,-120,2022-04-08 02:53:04+00:00,0.5455,-115,2022-04-08 19:48:51.388888832+00:00,0.5349
12,662559,2022-04-08 23:05:00+00:00,4/8/22,R,Final,New York Mets,Washington Nationals,121,120,N,1,Josiah Gray,Max Scherzer,,,7,3,9,Bottom,3309,Nationals Park,['Apple TV+'],NYM leads 2-0,2022-04-08 - New York Mets (7) @ Washington Nationals (3) (Final),New York Mets,Washington Nationals,Max Scherzer,Josiah Gray,,2022,152,2022-04-08 08:15:27.500000+00:00,0.3968,140,2022-04-08 22:50:15.100000+00:00,0.4167,-177,2022-04-08 08:15:27.500000+00:00,0.639,-161,2022-04-08 22:50:15.100000+00:00,0.6169,8.75,-113,2022-04-08 08:48:41.555555584+00:00,0.5305,8.5,-120,2022-04-08 22:40:09.500000+00:00,0.5455,100,2022-04-08 08:48:41.555555584+00:00,0.5,100,2022-04-08 22:40:09.500000+00:00,0.5
13,661782,2022-04-08 23:07:00+00:00,4/8/22,R,Final,Texas Rangers,Toronto Blue Jays,140,141,N,1,José Berríos,Jon Gray,,,8,10,9,Top,14,Rogers Centre,[],TOR leads 1-0,2022-04-08 - Texas Rangers (8) @ Toronto Blue Jays (10) (Final),Toronto Blue Jays,Texas Rangers,Adam Cimber,Dennis Santana,Jordan Romano,2022,-175,2022-04-07 23:48:52.900000+00:00,0.6364,-169,2022-04-08 22:50:15.100000+00:00,0.6283,154,2022-04-07 23:48:52.900000+00:00,0.3937,149,2022-04-08 22:50:15.100000+00:00,0.4016,9.25,-107,2022-04-08 02:53:04+00:00,0.5169,9,-115,2022-04-08 22:50:14.611110912+00:00,0.5349,-114,2022-04-08 02:53:04+00:00,0.5327,-105,2022-04-08 22:50:14.611110912+00:00,0.5122
14,661576,2022-04-08 23:20:00+00:00,4/8/22,R,Final,Cincinnati Reds,Atlanta Braves,113,144,N,1,Charlie Morton,Reiver Sanmartin,,,6,7,9,Top,4705,Truist Park,[],Series tied 1-1,2022-04-08 - Cincinnati Reds (6) @ Atlanta Braves (7) (Final),Atlanta Braves,Cincinnati Reds,Charlie Morton,Reiver Sanmartin,,2022,-182,2022-04-08 08:15:27.500000+00:00,0.6454,-185,2022-04-08 22:50:15.100000+00:00,0.6491,158,2022-04-08 08:15:27.500000+00:00,0.3876,165,2022-04-08 22:50:15.100000+00:00,0.3774,8.5,-115,2022-04-08 08:52:02.611110912+00:00,0.5349,9,100,2022-04-08 22:50:14.611110912+00:00,0.5,-105,2022-04-08 08:52:02.611110912+00:00,0.5122,-120,2022-04-08 22:50:14.611110912+00:00,0.5455
